Father pid is: 2134
=========================No.0: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.1: prev_pid: 1113,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2639006, reason: 6 =========================
=========================No.2: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.3: prev_pid: 1113,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.4: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2639006, reason: 6 =========================
=========================No.5: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.6: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2639006, reason: 6 =========================
=========================No.7: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.8: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2639006, reason: 6 =========================
=========================No.9: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.10: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2639006, reason: 6 =========================
=========================No.11: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.12: prev_pid: 1107,next_pid: 2, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.13: prev_pid: 2,next_pid: 1109, prev_policy: 0, next_policy: 0, time: 2639006, reason: 5 =========================
=========================No.14: prev_pid: 1109,next_pid: 1115, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.15: prev_pid: 1115,next_pid: 5, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.16: prev_pid: 5,next_pid: 1114, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.17: prev_pid: 1114,next_pid: 1, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.18: prev_pid: 1,next_pid: 16, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.19: prev_pid: 16,next_pid: 1093, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.20: prev_pid: 1093,next_pid: 1105, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.21: prev_pid: 1105,next_pid: 2142, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.22: prev_pid: 2142,next_pid: 2134, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.23: prev_pid: 2134,next_pid: 1111, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.24: prev_pid: 1111,next_pid: 1114, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.25: prev_pid: 1114,next_pid: 1072, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.26: prev_pid: 1072,next_pid: 3, prev_policy: 0, next_policy: 0, time: 2639008, reason: 5 =========================
=========================No.27: prev_pid: 2142,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2639010, reason: 1 =========================
=========================No.28: prev_pid: 437,next_pid: 16, prev_policy: 0, next_policy: 0, time: 2639010, reason: 5 =========================
=========================No.29: prev_pid: 16,next_pid: 2143, prev_policy: 0, next_policy: 0, time: 2639011, reason: 5 =========================
=========================No.30: prev_pid: 2143,next_pid: 16, prev_policy: 0, next_policy: 0, time: 2639011, reason: 6 =========================
=========================No.31: prev_pid: 16,next_pid: 2143, prev_policy: 0, next_policy: 0, time: 2639012, reason: 5 =========================
=========================No.32: prev_pid: 2143,next_pid: 16, prev_policy: 0, next_policy: 0, time: 2639012, reason: 6 =========================
