Father pid is: 1591
=========================No.0: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586492, reason: 6 =========================
=========================No.1: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586492, reason: 5 =========================
=========================No.2: prev_pid: 1107,next_pid: 1587, prev_policy: 0, next_policy: 0, time: 1586492, reason: 5 =========================
=========================No.3: prev_pid: 1587,next_pid: 437, prev_policy: 0, next_policy: 0, time: 1586498, reason: 6 =========================
=========================No.4: prev_pid: 437,next_pid: 1587, prev_policy: 0, next_policy: 0, time: 1586499, reason: 5 =========================
=========================No.5: prev_pid: 1587,next_pid: 437, prev_policy: 0, next_policy: 0, time: 1586499, reason: 6 =========================
=========================No.6: prev_pid: 437,next_pid: 1587, prev_policy: 0, next_policy: 0, time: 1586499, reason: 5 =========================
=========================No.7: prev_pid: 1587,next_pid: 437, prev_policy: 0, next_policy: 0, time: 1586499, reason: 6 =========================
=========================No.8: prev_pid: 437,next_pid: 1587, prev_policy: 0, next_policy: 0, time: 1586500, reason: 5 =========================
=========================No.9: prev_pid: 1587,next_pid: 1586, prev_policy: 0, next_policy: 0, time: 1586535, reason: 2 =========================
=========================No.10: prev_pid: 1586,next_pid: 1583, prev_policy: 0, next_policy: 0, time: 1586535, reason: 2 =========================
=========================No.11: prev_pid: 1583,next_pid: 1122, prev_policy: 0, next_policy: 0, time: 1586535, reason: 2 =========================
=========================No.12: prev_pid: 1122,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586535, reason: 5 =========================
=========================No.13: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586537, reason: 6 =========================
=========================No.14: prev_pid: 1005,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586537, reason: 5 =========================
=========================No.15: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586544, reason: 6 =========================
=========================No.16: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586544, reason: 5 =========================
=========================No.17: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586544, reason: 6 =========================
=========================No.18: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586544, reason: 5 =========================
=========================No.19: prev_pid: 1107,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586544, reason: 5 =========================
=========================No.20: prev_pid: 0,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1586554, reason: 6 =========================
=========================No.21: prev_pid: 1113,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586554, reason: 6 =========================
=========================No.22: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1586554, reason: 5 =========================
=========================No.23: prev_pid: 1113,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586554, reason: 6 =========================
=========================No.24: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1586554, reason: 5 =========================
=========================No.25: prev_pid: 1113,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586554, reason: 5 =========================
=========================No.26: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586555, reason: 6 =========================
=========================No.27: prev_pid: 1005,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586555, reason: 5 =========================
=========================No.28: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586561, reason: 6 =========================
=========================No.29: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586561, reason: 5 =========================
=========================No.30: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586561, reason: 6 =========================
=========================No.31: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586561, reason: 5 =========================
=========================No.32: prev_pid: 1107,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586561, reason: 5 =========================
=========================No.33: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586572, reason: 6 =========================
=========================No.34: prev_pid: 1005,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586572, reason: 5 =========================
=========================No.35: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586578, reason: 6 =========================
=========================No.36: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586578, reason: 5 =========================
=========================No.37: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1586578, reason: 6 =========================
=========================No.38: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1586578, reason: 5 =========================
=========================No.39: prev_pid: 1107,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1586578, reason: 5 =========================
=========================No.40: prev_pid: 0,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1586579, reason: 6 =========================
=========================No.41: prev_pid: 437,next_pid: 1588, prev_policy: 0, next_policy: 0, time: 1589345, reason: 5 =========================
=========================No.42: prev_pid: 1588,next_pid: 437, prev_policy: 0, next_policy: 0, time: 1589345, reason: 1 =========================
=========================No.43: prev_pid: 437,next_pid: 1589, prev_policy: 0, next_policy: 0, time: 1589345, reason: 5 =========================
=========================No.44: prev_pid: 1589,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589347, reason: 6 =========================
=========================No.45: prev_pid: 1005,next_pid: 1589, prev_policy: 0, next_policy: 0, time: 1589347, reason: 5 =========================
=========================No.46: prev_pid: 1589,next_pid: 1590, prev_policy: 0, next_policy: 0, time: 1589347, reason: 2 =========================
=========================No.47: prev_pid: 1590,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1589347, reason: 2 =========================
=========================No.48: prev_pid: 1113,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589347, reason: 6 =========================
=========================No.49: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1589347, reason: 5 =========================
=========================No.50: prev_pid: 1113,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589347, reason: 6 =========================
=========================No.51: prev_pid: 1005,next_pid: 1113, prev_policy: 0, next_policy: 0, time: 1589347, reason: 5 =========================
=========================No.52: prev_pid: 1113,next_pid: 1588, prev_policy: 0, next_policy: 0, time: 1589347, reason: 5 =========================
=========================No.53: prev_pid: 1588,next_pid: 437, prev_policy: 0, next_policy: 0, time: 1589347, reason: 2 =========================
=========================No.54: prev_pid: 437,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1589351, reason: 5 =========================
=========================No.55: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589352, reason: 6 =========================
=========================No.56: prev_pid: 1005,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1589352, reason: 5 =========================
=========================No.57: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589353, reason: 6 =========================
=========================No.58: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1589353, reason: 5 =========================
=========================No.59: prev_pid: 1107,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 1589353, reason: 6 =========================
=========================No.60: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 1589353, reason: 5 =========================
=========================No.61: prev_pid: 1107,next_pid: 0, prev_policy: 0, next_policy: 0, time: 1589353, reason: 5 =========================
